name	len	score	pvalue
NODE_95_length_8455_cov_1.816071	8455	0.04752366244792938	0.23774454263917214
NODE_82_length_9014_cov_2.307512	9014	0.09136828780174255	0.19502983609033914
NODE_60_length_10226_cov_5.480877	10226	0.9998494386672974	0.0019072437495279099
NODE_98_length_8312_cov_3.138186	8312	0.03383488208055496	0.2603670972127804
NODE_93_length_8572_cov_2.910649	8572	0.009832736104726791	0.3453244202734346
NODE_57_length_10395_cov_3.943520	10395	0.6162240505218506	0.0404297907696956
NODE_96_length_8346_cov_2.395972	8346	0.7124240398406982	0.03208323891532593
NODE_77_length_9166_cov_2.355834	9166	0.027115948498249054	0.27460533272905807
NODE_62_length_10159_cov_2.614212	10159	0.026677222922444344	0.2756250472090037
NODE_72_length_9296_cov_2.962125	9296	0.08444328606128693	0.20005287408414532
NODE_99_length_8309_cov_2.519869	8309	0.020280005410313606	0.29367777022433716
NODE_83_length_9010_cov_2.055165	9010	0.11156068742275238	0.18288768033839414
NODE_63_length_10125_cov_2.714796	10125	0.05078887194395065	0.23338243069718256
NODE_90_length_8801_cov_2.780814	8801	0.05195104330778122	0.23179620817282273
NODE_100_length_8265_cov_1.919123	8265	0.014339268207550049	0.31775436211194197
NODE_84_length_8984_cov_2.878822	8984	0.04441855102777481	0.24218218898708363
NODE_78_length_9121_cov_1.956541	9121	0.020525053143501282	0.2927524737517939
NODE_107_length_8017_cov_2.377167	8017	0.035784605890512466	0.25694916534481455
NODE_125_length_7589_cov_2.378152	7589	0.018460195511579514	0.30019261273510084
NODE_101_length_8222_cov_2.085099	8222	0.07415282726287842	0.20864491275776115
NODE_122_length_7662_cov_2.466413	7662	0.01564297080039978	0.31195709645743636
NODE_113_length_7799_cov_2.593363	7799	0.10760467499494553	0.185191479719012
NODE_131_length_7361_cov_5.802491	7361	0.17040851712226868	0.15701714631014427
NODE_116_length_7760_cov_2.021674	7760	0.030891921371221542	0.26608882846136417
NODE_104_length_8180_cov_2.400615	8180	0.06784097105264664	0.21434776040486442
NODE_134_length_7246_cov_2.458907	7246	0.03060999885201454	0.2665798020998565
NODE_128_length_7498_cov_1.925702	7498	0.024264056235551834	0.28176221769015786
NODE_102_length_8212_cov_2.291406	8212	0.0334269255399704	0.26121685927940175
NODE_110_length_7914_cov_2.469016	7914	0.050376046448946	0.2339489387415968
NODE_108_length_7974_cov_2.267079	7974	0.02343224361538887	0.2841604350781781
NODE_119_length_7719_cov_2.807281	7719	0.06487957388162613	0.2173124858372989
NODE_105_length_8117_cov_3.196477	8117	0.013203826732933521	0.32323060654127955
NODE_103_length_8181_cov_2.209820	8181	0.08216738700866699	0.20180904902182945
NODE_111_length_7855_cov_2.487436	7855	0.06032119691371918	0.22250547624442935
NODE_135_length_7232_cov_2.121917	7232	0.027780048549175262	0.2729624594002568
NODE_112_length_7837_cov_2.200334	7837	0.3349020481109619	0.11129994712591586
NODE_137_length_7198_cov_1.847543	7198	0.2011433243751526	0.14642344587959816
NODE_120_length_7702_cov_2.390480	7702	0.0068357763811945915	0.37042072664098497
NODE_126_length_7583_cov_2.218252	7583	0.011324875988066196	0.3343719314147594
NODE_106_length_8105_cov_2.843354	8105	0.09580258280038834	0.19221617946974848
NODE_132_length_7323_cov_2.332554	7323	0.03286156430840492	0.26233099176674973
NODE_109_length_7915_cov_2.091349	7915	0.14383065700531006	0.1673842435229247
NODE_117_length_7755_cov_2.953636	7755	0.05029319226741791	0.2340244731475187
NODE_140_length_7130_cov_2.321272	7130	0.015214109793305397	0.31358108618475716
NODE_138_length_7178_cov_1.896252	7178	0.04871775209903717	0.23625273812221467
NODE_129_length_7389_cov_2.728525	7389	0.1555483639240265	0.16270111035576706
NODE_114_length_7772_cov_2.938448	7772	0.020539823919534683	0.29273359015031347
NODE_127_length_7560_cov_2.523251	7560	0.11806479841470718	0.17969635168819398
NODE_136_length_7231_cov_2.450251	7231	0.18752862513065338	0.1512576478585996
NODE_123_length_7608_cov_2.449093	7608	0.07988534867763519	0.20364075836543546
NODE_121_length_7689_cov_2.213518	7689	0.04036711901426315	0.24888586751265201
NODE_143_length_7122_cov_2.591482	7122	0.059819746762514114	0.22309086789032403
NODE_141_length_7127_cov_1.910633	7127	0.09694299101829529	0.19136641740312713
NODE_144_length_7084_cov_2.680893	7084	0.06057695671916008	0.22229775662814413
NODE_146_length_7049_cov_2.305834	7049	0.04965149611234665	0.23479870080821813
NODE_133_length_7299_cov_2.132800	7299	0.03226904571056366	0.2631052194274492
NODE_139_length_7141_cov_2.567880	7141	0.009659427218139172	0.34674069038447014
NODE_142_length_7126_cov_2.557488	7126	0.03408148139715195	0.2598950071757686
NODE_147_length_7044_cov_2.734011	7044	0.10543237626552582	0.18664551703300852
NODE_145_length_7061_cov_2.532115	7061	0.03372454643249512	0.2606125840320266
NODE_155_length_6817_cov_1.742236	6817	0.015811163932085037	0.3113339376085807
NODE_149_length_6998_cov_2.059916	6998	0.008371790871024132	0.35622025832766824
NODE_130_length_7382_cov_2.379828	7382	0.03611298277974129	0.25630712289447843
NODE_118_length_7753_cov_2.458041	7753	0.05709865689277649	0.22598005891683662
NODE_152_length_6862_cov_2.018804	6862	0.07414696365594864	0.20864491275776115
NODE_148_length_7040_cov_2.537724	7040	0.02580726146697998	0.2778533121836997
NODE_164_length_6684_cov_2.145572	6684	0.028453292325139046	0.2711685172596118
NODE_161_length_6720_cov_2.148837	6720	0.03862433880567551	0.25151068811843796
NODE_173_length_6499_cov_2.374922	6499	0.3676011562347412	0.10416194576629655
NODE_158_length_6765_cov_2.529657	6765	0.03988383710384369	0.2494712591585467
NODE_167_length_6612_cov_2.204057	6612	0.05409600958228111	0.22934133998036105
NODE_115_length_7760_cov_2.113303	7760	0.08879546076059341	0.1968237782309842
NODE_124_length_7593_cov_2.630273	7593	0.041108209639787674	0.24767731701790166
NODE_156_length_6771_cov_2.490768	6771	0.0326872318983078	0.26261424578895687
